OFICINA;NUMERO;CUENTA;CTRA_CTA;APLICA;MONEDA;MARCO;CTAITB;NIVEL;FONDOS;TIPO;SECUENCIA;PRESUP;T_PRESUP;T_PASIVO;RUBRO;TGIRO;CTAGIRO;SALDO;PROTECT
01;1;ACTIVO;;FALSO;D;1;142102001;1;FALSO;;100000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11;ACTIVO CORRIENTE;;FALSO;D;1;142102001;2;FALSO;;200000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;111;DISPONIBLE;;FALSO;D;1;142102001;3;FALSO;;300000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11101;CAJA;;FALSO;D;1;142102001;4;FALSO;;400000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11101001;CAJA GENERAL;;FALSO;;1;;5;FALSO;;500000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11101001001;CAJA M/N;;VERDADERO;D;1;42102001;6;VERDADERO;C;600000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;11101001002;CAJA M/E;;VERDADERO;D;1;42102001;6;VERDADERO;C;700000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;11101001003;CAJA FUERTE M/N;;VERDADERO;D;1;42102001;6;VERDADERO;C;800000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;11101001004;CAJA FUERTE M/E;;VERDADERO;D;1;42102001;6;VERDADERO;C;900000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;11101002;CAJA CHICA;;FALSO;;1;42102001;5;FALSO;;1000000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;FALSO
01;11101002001;CAJA CHICA;;VERDADERO;B;1;42102001;6;FALSO;;1100000.000000;0.00;;FALSO;;VERDADERO;;0.00;
01;11102;BANCOS;;FALSO;D;1;142102001;4;FALSO;;1200000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11102001;BANCO ECONOMICO M/N 1041-188970;;VERDADERO;D;1;42102001;5;VERDADERO;B;1300000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;11102002;BANCO ECONOMICO M/E 1042-096019;;VERDADERO;D;1;42102001;5;VERDADERO;B;1400000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;11102003;BANCO UNION M/N 1-1621156;;VERDADERO;D;1;42102001;5;VERDADERO;B;1500000.000000;0.00;FALSO;FALSO;;VERDADERO;;0.00;
01;112;EXIGIBLES;;FALSO;D;1;142102001;3;FALSO;;1600000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11201;CLIENTES POR COBRAR;;FALSO;D;1;142102001;4;FALSO;;1700000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11201001;CLIENTES M/N;;VERDADERO;D;1;142102001;5;FALSO;;1800000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11201002;CLIENTES M/E;;VERDADERO;D;1;142102001;5;FALSO;;1900000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
01;11201003;PREVISION PARA CUENTAS INCOBRABLES;;VERDADERO;D;1;142102001;5;FALSO;;2000000.000000;0.00;FALSO;FALSO;;FALSO;;0.00;
